Name;LO;Tune;Mode;SrateOut;LoCut;HiCut
434.00(Тест_рация);433000000;434000000;FM;22050;208,6913452;10975
432.600(Охранники_Класс);432904104;432600000;FM;22050;116;3586
434.75(Репитер_Маяк);433750000;434750000;FM;22050;116,3605881;3586,445801
446.06(Охранники_Восторга);445006000;446006000;FM;22050;119,5915833;3523,937012
433.915(Датчик_тока);432915000;433915164;AM;96000;100;47863,92578
310.76(Пульт_на_4кнп.самоделка);310450709;311179176;AM;192000;100;95863,92969
315.00(Пульт_на_4кнп);314000000;315000000;AM;192000;100;75793
319.80(Пульт_на_3кнп);320800000;319800000;AM;192000;100;95950
434.170(Модем_SI4432);433170000;434170000;AM;48000;100;23864
144.302;143700000;144302272;CW;12000;161;1239
863.495(Наушники_AKG-K306AFC);862989809;863495870;FM;192000;50;20411,05664
